Session Id: 20207-201522
DEBUG | Sat Jul 25 20:15:22 IST 2020 : Services initiated
DEBUG | Sat Jul 25 20:15:31 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 20:15:36 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
DEBUG | Sat Jul 25 20:15:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 20:15:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 20:15:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 20:15:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 20:15:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 20:15:39 IST 2020 : Overwrite strategy decided : 
DEBUG | Sat Jul 25 20:15:39 IST 2020 : RENAME_SKIPPED_FILES : false
DEBUG | Sat Jul 25 20:15:39 IST 2020 : ASK_FOR_EACH_FILE : false
DEBUG | Sat Jul 25 20:15:39 IST 2020 : COPY_MULTIPLE_FILES_TO_SAME_PATH__ASK_FOR_EACH_FILE : true
INFO  | Sat Jul 25 20:15:39 IST 2020 : Copying 168 files.
--------------------------------------------------------------------------------
INFO  | Sat Jul 25 20:15:39 IST 2020 : 0 of 168 copied
DEBUG | Sat Jul 25 20:15:39 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 20:15:39 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 20:15:39 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\Love Is Just Apain.avi
WARN  | Sat Jul 25 20:15:39 IST 2020 : Same named file exists : Love Is Just Apain.avi
WARN  | Sat Jul 25 20:15:39 IST 2020 : Overwriting existing file
DEBUG | Sat Jul 25 20:15:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 20:15:39 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Sat Jul 25 20:15:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 20:15:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 20:15:40 IST 2020 : Setting UI for files in bucket...
