DEBUG | Tue Jul 28 23:29:23 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:29:23 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:29:23 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:29:23 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:29:23 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:29:23 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Tue Jul 28 23:29:23 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-232923
DEBUG | Tue Jul 28 23:29:23 IST 2020 : Services initiated
DEBUG | Tue Jul 28 23:29:24 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\ifapzYRTSP1595959163442
DEBUG | Tue Jul 28 23:29:24 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:29:24 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:29:24 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 23:29:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:29:24 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\MhrmtRHuty1595959163442
DEBUG | Tue Jul 28 23:29:24 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:29:24 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:29:24 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 23:29:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:29:24 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 23:29:29 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
