DEBUG | Wed Jul 29 23:13:26 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:13:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:43 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Wed Jul 29 23:13:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:46 IST 2020 : Copy completed: 1.bmp
DEBUG | Wed Jul 29 23:13:46 IST 2020 : 1.bmp : Data integrity check passed.
INFO  | Wed Jul 29 23:13:46 IST 2020 : 2 of 2 copied
DEBUG | Wed Jul 29 23:13:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:46 IST 2020 : Setting UI for files in bucket...
WARN  | Wed Jul 29 23:13:26 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20211-231326
DEBUG | Wed Jul 29 23:13:26 IST 2020 : Services initiated
DEBUG | Wed Jul 29 23:13:27 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\iZJpSYPlcb1596044606527
DEBUG | Wed Jul 29 23:13:27 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:13:27 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:13:27 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Wed Jul 29 23:13:27 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:27 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\TgPNxwVNGl1596044606526
DEBUG | Wed Jul 29 23:13:27 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:13:27 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:13:27 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Wed Jul 29 23:13:27 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:27 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:13:32 IST 2020 : Files with same names and relative paths copied together from different sources. Will show src copy strategy dialog.
DEBUG | Wed Jul 29 23:13:33 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:33 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:35 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:13:35 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
DEBUG | Wed Jul 29 23:13:36 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:36 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:43 IST 2020 : Overwrite strategy decided : 
DEBUG | Wed Jul 29 23:13:43 IST 2020 : RENAME_SKIPPED_FILES : false
DEBUG | Wed Jul 29 23:13:43 IST 2020 : ASK_FOR_EACH_FILE : false
INFO  | Wed Jul 29 23:13:43 IST 2020 : Copying 2 files.
--------------------------------------------------------------------------------
INFO  | Wed Jul 29 23:13:43 IST 2020 : 0 of 2 copied
DEBUG | Wed Jul 29 23:13:43 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Wed Jul 29 23:13:43 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:13:43 IST 2020 : Skipping the file as the file has been marked to be ignored.
INFO  | Wed Jul 29 23:13:43 IST 2020 : 1 of 2 copied
DEBUG | Wed Jul 29 23:13:43 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Wed Jul 29 23:13:43 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:13:43 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Wed Jul 29 23:13:43 IST 2020 : Same named file exists : 1.bmp
WARN  | Wed Jul 29 23:13:43 IST 2020 : Overwriting existing file
DEBUG | Wed Jul 29 23:13:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:43 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Wed Jul 29 23:13:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:46 IST 2020 : Copy completed: 1.bmp
DEBUG | Wed Jul 29 23:13:46 IST 2020 : 1.bmp : Data integrity check passed.
INFO  | Wed Jul 29 23:13:46 IST 2020 : 2 of 2 copied
DEBUG | Wed Jul 29 23:13:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:13:46 IST 2020 : Setting UI for files in bucket...
