Session Id: 20207-174453
DEBUG | Sat Jul 25 17:44:53 IST 2020 : Services initiated
DEBUG | Sat Jul 25 17:44:59 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:45:04 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
DEBUG | Sat Jul 25 17:45:05 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:05 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:07 IST 2020 : Overwrite strategy decided : 
DEBUG | Sat Jul 25 17:45:07 IST 2020 : RENAME_SKIPPED_FILES : false
DEBUG | Sat Jul 25 17:45:07 IST 2020 : ASK_FOR_EACH_FILE : false
DEBUG | Sat Jul 25 17:45:07 IST 2020 : COPY_MULTIPLE_FILES_TO_SAME_PATH__ASK_FOR_EACH_FILE : true
INFO  | Sat Jul 25 17:45:07 IST 2020 : Copying 10 files.
--------------------------------------------------------------------------------
INFO  | Sat Jul 25 17:45:07 IST 2020 : 0 of 10 copied
DEBUG | Sat Jul 25 17:45:07 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:45:07 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:45:07 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-4\1.bmp
WARN  | Sat Jul 25 17:45:07 IST 2020 : Same named file exists : 1.bmp
WARN  | Sat Jul 25 17:45:07 IST 2020 : Overwriting existing file
DEBUG | Sat Jul 25 17:45:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:07 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Sat Jul 25 17:45:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:08 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:08 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:10 IST 2020 : Copy completed: 1.bmp
DEBUG | Sat Jul 25 17:45:10 IST 2020 : 1.bmp : Data integrity check passed.
INFO  | Sat Jul 25 17:45:10 IST 2020 : 1 of 10 copied
DEBUG | Sat Jul 25 17:45:10 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:45:10 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:45:10 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-5\1.bmp
WARN  | Sat Jul 25 17:45:10 IST 2020 : Same named file exists : 1.bmp
WARN  | Sat Jul 25 17:45:10 IST 2020 : Overwriting existing file
DEBUG | Sat Jul 25 17:45:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:10 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Sat Jul 25 17:45:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:11 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:11 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:12 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:12 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:12 IST 2020 : Copy completed: 1.bmp
DEBUG | Sat Jul 25 17:45:12 IST 2020 : 1.bmp : Data integrity check passed.
INFO  | Sat Jul 25 17:45:12 IST 2020 : 2 of 10 copied
DEBUG | Sat Jul 25 17:45:12 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:45:12 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:45:12 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-6\1.bmp
WARN  | Sat Jul 25 17:45:12 IST 2020 : Same named file exists : 1.bmp
WARN  | Sat Jul 25 17:45:12 IST 2020 : Overwriting existing file
DEBUG | Sat Jul 25 17:45:12 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:12 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Sat Jul 25 17:45:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:15 IST 2020 : Copy completed: 1.bmp
DEBUG | Sat Jul 25 17:45:15 IST 2020 : 1.bmp : Data integrity check passed.
INFO  | Sat Jul 25 17:45:15 IST 2020 : 3 of 10 copied
DEBUG | Sat Jul 25 17:45:15 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:45:15 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:45:15 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-4\2.bmp
WARN  | Sat Jul 25 17:45:15 IST 2020 : Same named file exists : 2.bmp
WARN  | Sat Jul 25 17:45:15 IST 2020 : Overwriting existing file
DEBUG | Sat Jul 25 17:45:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:15 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Sat Jul 25 17:45:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:18 IST 2020 : Copy completed: 2.bmp
DEBUG | Sat Jul 25 17:45:18 IST 2020 : 2.bmp : Data integrity check passed.
INFO  | Sat Jul 25 17:45:18 IST 2020 : 4 of 10 copied
DEBUG | Sat Jul 25 17:45:18 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:45:18 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:45:18 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-5\2.bmp
WARN  | Sat Jul 25 17:45:18 IST 2020 : Same named file exists : 2.bmp
WARN  | Sat Jul 25 17:45:18 IST 2020 : Overwriting existing file
DEBUG | Sat Jul 25 17:45:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:18 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Sat Jul 25 17:45:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:20 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:20 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:21 IST 2020 : Copy completed: 2.bmp
DEBUG | Sat Jul 25 17:45:21 IST 2020 : 2.bmp : Data integrity check passed.
INFO  | Sat Jul 25 17:45:21 IST 2020 : 5 of 10 copied
DEBUG | Sat Jul 25 17:45:21 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:45:21 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:45:21 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-6\2.bmp
WARN  | Sat Jul 25 17:45:21 IST 2020 : Same named file exists : 2.bmp
WARN  | Sat Jul 25 17:45:21 IST 2020 : Overwriting existing file
DEBUG | Sat Jul 25 17:45:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:21 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Sat Jul 25 17:45:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:45:23 IST 2020 : Setting UI for files in bucket...
