DEBUG | Tue Jul 28 23:18:13 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:18:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:14 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\GOfpdWaMsD1595958493273
DEBUG | Tue Jul 28 23:18:14 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:18:14 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:18:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:14 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\hfgKyNABsF1595958493274
DEBUG | Tue Jul 28 23:18:14 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:18:14 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:18:14 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 23:18:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:14 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\LTPSYrAuoT1595958334107
DEBUG | Tue Jul 28 23:18:14 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:18:14 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:18:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:14 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 23:18:25 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
INFO  | Tue Jul 28 23:18:25 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 23:18:26 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:26 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:27 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:27 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:28 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:28 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:29 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:29 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:30 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:30 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:31 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:31 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:32 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:32 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:33 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:33 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:36 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:36 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:49 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:49 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:53 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:53 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:18:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:19:00 IST 2020 : Setting UI for files in bucket...
