DEBUG | Wed Jul 29 23:18:57 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:18:57 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:18:57 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:18:57 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:18:57 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:18:57 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Wed Jul 29 23:18:57 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20211-231857
DEBUG | Wed Jul 29 23:18:57 IST 2020 : Services initiated
DEBUG | Wed Jul 29 23:18:58 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\jmzpMWyoBq1596044937729
DEBUG | Wed Jul 29 23:18:58 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:18:58 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:18:58 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Wed Jul 29 23:18:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:18:58 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\MzfacSolQK1596044937728
DEBUG | Wed Jul 29 23:18:58 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:18:58 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:18:58 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Wed Jul 29 23:18:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:18:58 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:19:03 IST 2020 : Files with same names and relative paths copied together from different sources. Will show src copy strategy dialog.
DEBUG | Wed Jul 29 23:19:04 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:19:04 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:19:05 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:19:05 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:19:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:19:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:19:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:19:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:19:08 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:19:08 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:19:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:19:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:19:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:19:10 IST 2020 : Overwrite strategy decided : 
DEBUG | Wed Jul 29 23:19:10 IST 2020 : RENAME_SKIPPED_FILES : false
DEBUG | Wed Jul 29 23:19:10 IST 2020 : ASK_FOR_EACH_FILE : true
INFO  | Wed Jul 29 23:19:10 IST 2020 : Copying 2 files.
--------------------------------------------------------------------------------
INFO  | Wed Jul 29 23:19:10 IST 2020 : 0 of 2 copied
DEBUG | Wed Jul 29 23:19:10 IST 2020 : Setting UI for files in bucket...

----------------------------------------------

DEBUG | Wed Jul 29 23:19:10 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:19:10 IST 2020 : Skipping the file as the file has been marked to be ignored.
INFO  | Wed Jul 29 23:19:10 IST 2020 : 1 of 2 copied
DEBUG | Wed Jul 29 23:19:10 IST 2020 : Setting UI for files in bucket...

----------------------------------------------

DEBUG | Wed Jul 29 23:19:10 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:19:10 IST 2020 : Skipping the file as the file has been marked to be ignored.
INFO  | Wed Jul 29 23:19:10 IST 2020 : 2 of 2 copied
DEBUG | Wed Jul 29 23:19:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:19:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:19:10 IST 2020 : Setting UI for files in bucket...
